0,208500
1,181500
2,223500
3,140000
4,250000
5,143000
6,307000
7,200000
8,129900
9,118000
10,129500
11,345000
12,144000
13,279500
14,157000
15,132000
16,149000
17,90000
18,159000
19,139000
20,325300
21,139400
22,230000
23,129900
24,154000
25,256300
26,134800
27,306000
28,207500
29,68500
30,40000
31,149350
32,179900
33,165500
34,277500
35,309000
36,145000
37,153000
38,109000
39,82000
40,160000
41,170000
42,144000
43,130250
44,141000
45,319900
46,239686
47,249700
48,113000
49,127000
50,177000
51,114500
52,110000
53,385000
54,130000
55,180500
56,172500
57,196500
58,438780
59,124900
60,158000
61,101000
62,202500
63,140000
64,219500
65,317000
66,180000
67,226000
68,80000
69,225000
70,244000
71,129500
72,185000
73,144900
74,107400
75,91000
76,135750
77,127000
78,136500
79,110000
80,193500
81,153500
82,245000
83,126500
84,168500
85,260000
86,174000
87,164500
88,85000
89,123600
90,109900
91,98600
92,163500
93,133900
94,204750
95,185000
96,214000
97,94750
98,83000
99,128950
100,205000
101,178000
102,118964
103,198900
104,169500
105,250000
106,100000
107,115000
108,115000
109,190000
110,136900
111,180000
112,383970
113,217000
114,259500
115,176000
116,139000
117,155000
118,320000
119,163990
120,180000
121,100000
122,136000
123,153900
124,181000
125,84500
126,128000
127,87000
128,155000
129,150000
130,226000
131,244000
132,150750
133,220000
134,180000
135,174000
136,143000
137,171000
138,230000
139,231500
140,115000
141,260000
142,166000
143,204000
144,125000
145,130000
146,105000
147,222500
148,141000
149,115000
150,122000
151,372402
152,190000
153,235000
154,125000
155,79000
156,109500
157,269500
158,254900
159,320000
160,162500
161,412500
162,220000
163,103200
164,152000
165,127500
166,190000
167,325624
168,183500
169,228000
170,128500
171,215000
172,239000
173,163000
174,184000
175,243000
176,211000
177,172500
178,501837
179,100000
180,177000
181,200100
182,120000
183,200000
184,127000
185,475000
186,173000
187,135000
188,153337
189,286000
190,315000
191,184000
192,192000
193,130000
194,127000
195,148500
196,311872
197,235000
198,104000
199,274900
200,140000
201,171500
202,112000
203,149000
204,110000
205,180500
206,143900
207,141000
